Test set is 100000 lines (89964 positive)
  Passive-Aggressive classifier : 	 20000 train lines ( 18007 positive) 100000 test lines ( 89964 positive) accuracy: 0.981 in 1.36s (14677 lines/s)
                 SGD classifier : 	 20000 train lines ( 18007 positive) 100000 test lines ( 89964 positive) accuracy: 0.975 in 1.41s (14186 lines/s)
      NB Multinomial classifier : 	 20000 train lines ( 18007 positive) 100000 test lines ( 89964 positive) accuracy: 0.974 in 1.47s (13634 lines/s)
          Perceptron classifier : 	 20000 train lines ( 18007 positive) 100000 test lines ( 89964 positive) accuracy: 0.968 in 1.50s (13293 lines/s)


  Passive-Aggressive classifier : 	 60000 train lines ( 54081 positive) 100000 test lines ( 89964 positive) accuracy: 0.985 in 2.15s (27923 lines/s)
                 SGD classifier : 	 60000 train lines ( 54081 positive) 100000 test lines ( 89964 positive) accuracy: 0.975 in 2.19s (27443 lines/s)
      NB Multinomial classifier : 	 60000 train lines ( 54081 positive) 100000 test lines ( 89964 positive) accuracy: 0.979 in 2.24s (26732 lines/s)
          Perceptron classifier : 	 60000 train lines ( 54081 positive) 100000 test lines ( 89964 positive) accuracy: 0.978 in 2.28s (26286 lines/s)


  Passive-Aggressive classifier : 	100000 train lines ( 90145 positive) 100000 test lines ( 89964 positive) accuracy: 0.987 in 2.95s (33946 lines/s)
                 SGD classifier : 	100000 train lines ( 90145 positive) 100000 test lines ( 89964 positive) accuracy: 0.976 in 2.98s (33506 lines/s)
      NB Multinomial classifier : 	100000 train lines ( 90145 positive) 100000 test lines ( 89964 positive) accuracy: 0.981 in 3.05s (32818 lines/s)
          Perceptron classifier : 	100000 train lines ( 90145 positive) 100000 test lines ( 89964 positive) accuracy: 0.980 in 3.09s (32402 lines/s)


  Passive-Aggressive classifier : 	140000 train lines (126172 positive) 100000 test lines ( 89964 positive) accuracy: 0.988 in 3.79s (36977 lines/s)
                 SGD classifier : 	140000 train lines (126172 positive) 100000 test lines ( 89964 positive) accuracy: 0.975 in 3.83s (36556 lines/s)
      NB Multinomial classifier : 	140000 train lines (126172 positive) 100000 test lines ( 89964 positive) accuracy: 0.982 in 3.89s (35944 lines/s)
          Perceptron classifier : 	140000 train lines (126172 positive) 100000 test lines ( 89964 positive) accuracy: 0.982 in 3.94s (35510 lines/s)


  Passive-Aggressive classifier : 	180000 train lines (162172 positive) 100000 test lines ( 89964 positive) accuracy: 0.988 in 4.60s (39145 lines/s)
                 SGD classifier : 	180000 train lines (162172 positive) 100000 test lines ( 89964 positive) accuracy: 0.975 in 4.64s (38823 lines/s)
      NB Multinomial classifier : 	180000 train lines (162172 positive) 100000 test lines ( 89964 positive) accuracy: 0.983 in 4.70s (38293 lines/s)
          Perceptron classifier : 	180000 train lines (162172 positive) 100000 test lines ( 89964 positive) accuracy: 0.983 in 4.74s (37985 lines/s)


  Passive-Aggressive classifier : 	220000 train lines (198212 positive) 100000 test lines ( 89964 positive) accuracy: 0.989 in 5.45s (40381 lines/s)
                 SGD classifier : 	220000 train lines (198212 positive) 100000 test lines ( 89964 positive) accuracy: 0.976 in 5.50s (40031 lines/s)
      NB Multinomial classifier : 	220000 train lines (198212 positive) 100000 test lines ( 89964 positive) accuracy: 0.984 in 5.56s (39544 lines/s)
          Perceptron classifier : 	220000 train lines (198212 positive) 100000 test lines ( 89964 positive) accuracy: 0.984 in 5.61s (39230 lines/s)


  Passive-Aggressive classifier : 	260000 train lines (234181 positive) 100000 test lines ( 89964 positive) accuracy: 0.989 in 6.28s (41416 lines/s)
                 SGD classifier : 	260000 train lines (234181 positive) 100000 test lines ( 89964 positive) accuracy: 0.976 in 6.32s (41137 lines/s)
      NB Multinomial classifier : 	260000 train lines (234181 positive) 100000 test lines ( 89964 positive) accuracy: 0.984 in 6.39s (40714 lines/s)
          Perceptron classifier : 	260000 train lines (234181 positive) 100000 test lines ( 89964 positive) accuracy: 0.984 in 6.43s (40460 lines/s)


